name,seed_name,n_tri,gap_stored,gap_new,gap_physical,err_stored,err_new,nu_min,nu_max,nu_min_sim,nu_max_sim
demo0.npz,?,336,nan,1.3667760495857975e-13,4.755795798176198e-13,nan,nan,0.33333333333323534,0.3333333333333332,0.3333333333333013,0.3333333333333348
demo1.npz,?,336,nan,0.0007816625524214062,4.617992281307095e-13,nan,nan,0.274107032397523,0.36108794404986505,0.2741661514099768,0.36124755598071756
design_aniso4_0.npz,random_graded_n90_s4,180,0.004205152263360212,0.029732097370635084,1.261617757644069e-10,0.2714301823217059,0.28945004198962154,-0.01058205997154146,0.2355544922458715,-0.009230217076694802,0.2369111095868019
design_aniso4_1.npz,random_graded_n90_s8,180,0.004159281063899373,0.01258472169916057,2.019196096677873e-11,0.27148478578727475,0.37256064114823256,0.07253464503111912,0.23523727988364512,0.07385724636191307,0.23648680013724152
design_aniso4_2.npz,random_graded_n90_s12,180,0.0040880244416522105,0.008832999186778172,3.439128403021724e-11,0.27219248719720535,0.4307886836893276,0.13012500333427124,0.2350250754410699,0.1312605698165799,0.23593891817838988
design_aniso4_3.npz,random_uniform_n90_s7,180,0.0036937756869093313,0.014222280766197725,4.873884382575413e-11,0.27285460183321875,0.3367100307587193,0.03670480948018343,0.2351635148583612,0.037815896576026124,0.23634086254318878
design_aniso4_4.npz,random_uniform_n90_s11,180,0.003962070542706281,0.02465501032316694,6.147884478885251e-11,0.27434481921243303,0.3042226426956573,0.004216101485403267,0.23427437539052642,0.005508992893154819,0.23562506433110228
design_aniso4_5.npz,tiling_kagome_r3,108,0.004192635031003589,0.028332186253504994,2.7719891045357713e-11,0.2744815924106586,0.2747304437913499,-0.03584494994121345,0.2331115265855209,-0.034425415077563984,0.2346940670709875
design_aniso4_6.npz,random_uniform_n90_s3,180,0.004116507577754114,0.026801868288176448,4.466364374128012e-11,0.27462598912490643,0.2962796645164133,-0.003730027382485653,0.2350260774902004,-0.002412227050488324,0.23629260198762905
design_aniso4_7.npz,bravais_phi0.7_psi0.6_eta0.2_s0,576,0.006092694089126688,0.02847495671875351,1.0293031999953487e-09,0.27769051409236933,0.30194642441460207,0.0019390890119355506,0.2321100995950196,0.003305698495813588,0.23375162714241482
design_aniso4_8.npz,tiling_square_r4,32,0.00274890083985177,0.015080953760989743,2.962128573519151e-12,0.27886904968148496,0.27909032596326644,-0.029890039627812885,0.23406498769349982,-0.02918242196481862,0.2351952357870771
design_aniso4_9.npz,flipped_rand_f6_s104,170,0.003686858640837785,0.023959131732841706,6.308263900248034e-09,0.2797244762094303,0.28541156521509564,-0.01461339302300278,0.23245861050861774,-0.013432969046845052,0.23380142141076807
design_aniso4pos_0.npz,random_graded_n90_s4+pos,180,0.004147843977080762,0.029137909110747432,5.570839070649777e-11,0.2730416490566927,0.29019445286302437,-0.009842494337158166,0.2342250297714903,-0.00850112567741271,0.23557513768106414
design_aniso4pos_1.npz,random_graded_n90_s8+pos,180,0.003746954125149249,0.01497484708023694,4.370784746614696e-11,0.27155836195681604,0.33466471570168715,0.03464166648392892,0.233633549573897,0.03577120027088058,0.2346966883989707
design_aniso4pos_2.npz,random_graded_n90_s12+pos,180,0.003419764693531613,0.010348135243385523,2.943740643015817e-11,0.27535457989498646,0.3827462644270493,0.08198254352000212,0.2338483064365213,0.08314374653402949,0.23492770491688
design_aniso4pos_3.npz,random_uniform_n90_s7+pos,180,0.0037219123452060243,0.015943042824016172,4.824265115190357e-11,0.2752803438161092,0.33222811161929394,0.032200427356491305,0.2338679330873548,0.033407762471774696,0.2351512210974338
design_aniso4pos_4.npz,random_uniform_n90_s11+pos,180,0.006239439159587357,0.020255103436259726,1.2181349653166521e-10,0.2744658173402136,0.37944433588049664,0.07839179042937676,0.23212289683131304,0.08063158459142385,0.23377252802032758
design_aniso_0.npz,tiling_square_r4,32,0.0020427796954598076,0.00820332876489003,4.191438363743743e-11,0.35248981252265865,0.3637764073867772,0.0518194059890271,0.24361086062029932,0.05249014442397108,0.24431574140429357
design_aniso_1.npz,random_uniform_n90_s11,180,0.0021357044034791065,0.00866959867015835,2.4103615108517672e-11,0.3534962951690109,0.3626029257547404,0.05279052590785241,0.24176255185036183,0.05349627403388303,0.24249774922578937
design_aniso_2.npz,random_graded_n90_s12,180,0.002344334695060759,0.0113735597465665,2.221907598096094e-10,0.35417995792405144,0.3850919866033935,0.053211615960716475,0.2837626444641237,0.05418002677451311,0.2848084562673454
design_aniso_3.npz,random_graded_n90_s8,180,0.002282582762711309,0.007473905129366819,3.1423344000919125e-11,0.35449494761075173,0.3980795065362506,0.05388633631592036,0.3037713196041859,0.05449500745162412,0.30460611470498494
design_aniso_4.npz,flipped_rand_f6_s104,170,0.0022832214913626886,0.010649751579558919,3.5776324944886984e-10,0.3546406557648515,0.3537375772769914,0.05373757727699139,0.19482834375339506,0.05463985422049278,0.19564133492751898
design_aniso_5.npz,random_poisson_disk_n90_s5,174,0.002502961496777631,0.011108538990677796,2.259775482041566e-11,0.354674212118005,0.35373144368636183,0.053731443686361825,0.12862476731712288,0.05467417326176784,0.12955468766855807
design_aniso_6.npz,flipped_rand_f6_s106,170,0.0028710986896168522,0.01333018051730162,8.211512924007743e-11,0.35476693841407536,0.3536185992185443,0.05361859921854435,0.17154151371648665,0.05476610960049367,0.17256608891902522
design_aniso_7.npz,jitter_random_poisson_disk_n90_s1,170,0.0020883585008657918,0.009355052460830708,2.3029273125974396e-11,0.3548376502030587,0.354038151170017,0.05403815117001706,0.166128758134232,0.05483763711648423,0.16692841848172213
design_aniso_8.npz,random_poisson_disk_n90_s9,184,0.002716214926326413,0.011168882625725397,5.756348388096777e-09,0.3549517122646536,0.35403508162174996,0.05403508162174995,0.17849074255903719,0.05495042580382557,0.17941573717660722
design_aniso_9.npz,random_graded_n90_s4,180,0.0033579932304880003,0.01257252058014789,3.534611675396154e-11,0.35507892311000405,0.4406895536021004,0.05403914426626549,0.36086480216018657,0.05507873770381896,0.3616651828372102
design_auxetic_0.npz,random_poisson_disk_n70_s0,140,0.003972052534410991,0.03277343309896802,7.446042314182256e-08,0.026585188092127315,0.2510170821137602,-0.17633212887219557,0.05101708211376022,-0.1746237508532043,0.05253595736543088
design_auxetic_1.npz,flipped_rand_f6_s101,140,0.004519628713544971,0.025730003598691955,6.491989928383342e-11,0.027741967654969585,0.3301816357804841,-0.1748283426017707,0.1301816357804841,-0.1731457920062345,0.13149122851470127
design_auxetic_2.npz,jitter_random_poisson_disk_n70_s0,140,0.003868325006056633,0.028484283530383427,1.0002815176729455e-11,0.027907005050287148,0.2850875632331552,-0.1738421890503383,0.08508756323315518,-0.17238564179157445,0.08642376025492803
design_auxetic_3.npz,random_graded_n70_s3,140,0.005581618344300016,0.04054427812017872,1.022369806439632e-09,0.029963474176915333,0.49025490413649486,-0.17364943875799316,0.29025490413649485,-0.17189412165843945,0.291310588893422
design_auxetic_4.npz,flipped_reg_f6_s100,336,0.006449349677750155,0.174440788939272,0.1470057683288094,0.03427788698285528,0.2569910280611411,-0.1682462823698956,0.05699102806114108,-0.1661915258283525,0.058464133174204215
design_demo_0.npz,flipped_rand_f5_s101,96,0.0028128357143817288,0.021168087409100148,1.3884979164441128e-11,0.010195739563804693,0.2640033063621063,0.007991084477842738,0.2640033063621063,0.009165325914917245,0.2652089788909144
design_demo_1.npz,tiling_square_r4,32,0.002305702391432518,0.015442935848676264,5.567387608369205e-06,0.012398203177699397,0.24305255051618063,0.011490997709058282,0.24305255051618063,0.012389717300176926,0.2436544505805135
design_demo_2.npz,random_poisson_disk_n50_s0,96,0.002180610535226257,0.014818152220881241,1.5327733897287934e-12,0.01357665654419768,0.1957590211172881,0.0112794650473576,0.1957590211172881,0.01212329482131009,0.19653008530915472
design_ds_num030_E100_0.npz,random_graded_n120_s7,240,0.005094156720764409,0.04438818840970563,3.8620046523764725e-09,0.04278252011465078,0.43194791439492963,-0.25993383464310277,0.13194791439492967,-0.2581621414428736,0.1338725071789575
design_ds_num030_E100_1.npz,random_poisson_disk_n120_s4,230,0.005483388578974457,0.037805973746732245,6.523074720643427e-11,0.04295223472846171,0.3487949034541463,-0.2618605795648897,0.04879490345414636,-0.2596605702774315,0.050804163609395235
design_ds_num030_E100_2.npz,random_graded_n120_s3,240,0.00270525530855259,0.017625937885938636,8.596676469601699e-07,0.04438949344864512,0.5432823224352508,-0.25761059981796114,0.24328232243525078,-0.2565903241322365,0.24416965093761656
design_ds_nup000_E100_0.npz,random_poisson_disk_n120_s4,230,0.0022374801903061194,0.020182100132460693,5.249950990915804e-12,0.00935968573222176,0.23320391077079047,0.008204388126080805,0.23320391077079047,0.009343521564672363,0.23424525103778945
design_ds_nup000_E100_1.npz,random_graded_n120_s7,240,0.0033033345807955625,0.018792779611022693,2.2850731550771567e-11,0.012369105373034062,0.2788738122344023,0.011284647371543532,0.2788738122344023,0.012364420592242695,0.2799285722345788
design_ds_nup000_E100_2.npz,flipped_rand_f6_s103,228,0.003318196210472548,0.019481128136392273,1.8582595048293063e-10,0.013214244765956187,0.2200166586413589,0.012071961483087206,0.22001336137577823,0.013183617482945612,0.2209577344246975
design_ds_nup030_E100_0.npz,random_blue_noise_n120_s1,240,0.000540584087694862,0.0007758486250001287,9.498747505528317e-10,0.003078410895901884,0.05294728940926019,0.3012254616753946,0.33874395679076436,0.3013429705767526,0.3388294261480143
design_ds_nup030_E100_1.npz,flipped_reg_f6_s102,336,0.0074956934106181206,0.0004907482238621533,1.2399148624198387e-12,0.004588456635283622,0.022189911064477652,0.30237115782190865,0.3179425579705788,0.30249862393161747,0.31805752509579144
design_ds_nup030_E100_2.npz,jitter_bravais_reg,336,0.00019535301748291323,0.00034777501975155297,3.654837750473519e-13,0.006265886454592806,0.024010803241237832,0.30305364445639144,0.3192099235090965,0.3031351720471591,0.31928612001565737
design_posdefault_0.npz,random_poisson_disk_n40_s0+pos,86,0.0038879456956694702,0.026173093093233422,7.124971169583136e-12,0.021323312410663042,0.3151879502350331,-0.13096016541649538,0.16518795023503308,-0.12957765900284673,0.16669748379659236
design_posdemo_0.npz,bravais_reg_half5+pos,240,0.0038952692053325633,0.03063535134391987,4.0498418814580624e-10,0.029618901443548812,0.1693124964809951,-0.12282026490497452,0.019312496480995107,-0.12122450173625098,0.02075465061710529
seed_honeycomb.npz,?,68,nan,0.3134813581661625,0.3665525553770077,nan,nan,0.9935706237494932,0.9968628854873366,0.9942388201571715,0.9964821598273905
seed_kagome.npz,?,108,nan,0.0007055200515129745,1.207219848175957e-12,nan,nan,0.3329943304066195,0.3332932338018709,0.3331920463017786,0.3334766313895337
seed_square.npz,?,18,nan,0.002054457356607647,2.3388278456726295e-13,nan,nan,0.0003948107307046679,0.9982252895694896,0.0004935636734427264,0.998225710562236
seed_square_octagon.npz,?,72,nan,0.5127088453500144,0.5737545364791392,nan,nan,0.9919489602662263,0.9955957581994381,0.9914947424596523,0.9960670407510254
